Gene,Coordinates
DEPDC4,12:100231635-100268094
OR2D2,11:6891574-6892500
WFDC8,20:45551152-45579305
ZNF587,19:57849859-57865117
CCDC54,3:107377439-107378635
VTRNA1-2,5:140718926-140719013
TUBB7P,4:189982335-189984929
SNORA73B,1:28508558-28508762
C5orf66,5:135033274-135344680
LOC100421094,8:12374354-12375546
LOC402329,8:7341826-7343020
OR14I1,1:248678140-248685488
LOC392187,8:7967344-7968544
RBM43,2:151247940-151261863
ADGRF2,6:47656472-47697794
LETM2,8:38382505-38409527
SNTN,3:63652675-63665212
SNX30,9:112749723-112875847
SH2D5,1:20719731-20732703
ARHGEF37,5:149552057-149634968
TMPRSS7,3:112039067-112081269
TEX33,22:36991124-37007864
PRSS35,6:83512534-83525704
SOCS2-AS1,12:93565628-93571398
MAGEB10,X:27807990-27823014
C14orf28,14:44897275-44907257
PRR20A,13:57140918-57143939
C1QTNF7,4:15339818-15446169
SERHL,22:42500579-42512560
ZBTB47,3:42653697-42667580
MIR1305,4:182169293-182169378
LRRC70,5:62578819-62581446
ASB18,2:236193452-236264345
KRTAP10-3,21:44557790-44558795
NEXN-AS1,1:77881348-77889539
CYB561D1,1:109493606-109500441
TTC36,11:118527474-118530993
TMEM219,16:29962079-29973048
KRTAP4-12,17:41123091-41124182
ARHGEF38,4:105552604-105682539
TRBV3-1,7:142308589-142309048
SZRD1,1:16367242-16398145
TMEM186,16:8795180-8797639
GAGE12E,X:49551316-49558649
MIR639,19:14529543-14529640
MAP1LC3B2,12:116559381-116576606
CFAP77,9:132410043-132573319
LCE3E,1:152565654-152566780
CNPY1,7:155501129-155570746
LY86-AS1,6:6346465-6622826
TMCO6,5:140596529-140647411
RBM41,X:107061885-107118822
IGLV3-1,22:22880912-22881392
TRGV5,7:38349355-38349824
CD164L2,1:27379171-27383333
OTULINL,5:14581792-14616180
LOC111188159,22:37149826-37150781
C5orf67,5:56511282-56606256
PAPPA-AS1,9:116398157-116400606
MARCHF11,5:16067139-16179791
TUSC8,13:44400250-44405984
RNF175,4:153710160-153760983
SPATS1,6:44342650-44380179
LIX1L,1:145933423-145958038
TDRD10,1:154502219-154548147
MFSD11,17:76736634-76803805
KIAA1586,6:57046691-57055739
INE1,X:47204848-47205861
GPR27,3:71753855-71756496
LOC111674467,7:117642899-117647516
MIR5582,11:46753125-46753192
GTF2H2C,5:69560191-69595221
MIR507,X:147230984-147231077
MIR513A1,X:147213463-147213591
OR2M7,1:248323630-248324568
C5orf51,5:41904313-41921636
RPL34-DT,4:108538190-108620457
TRIM43,2:95592001-95599778
TSACC,1:156337314-156346995
AGAP4,10:45825592-45853877
PPP1R3E,14:23295652-23302859
OSGEPL1,2:189746660-189763351
AMDHD2,16:2520362-2531422
FAM149A,4:186104704-186175337
MT-TR,MT:10405-10469
CECR7,22:17036570-17060070
MIR515-2,19:53685009-53685091
DPRX,19:53601114-53637057
VSIG8,1:159854316-159862657
ANKDD1A,15:64911902-64958691
SLCO1B7,12:21015696-21090106
CT47A11,X:120933840-120937260
OVOS2,12:31111652-31201235
ANKRD39,2:96847990-96858016
HBZP1,16:163067-165205
MIR4284,7:73711317-73711397
CFAP299,4:80321265-80963756
FAM9A,X:8790795-8801383
C21orf62,21:32790673-32813808
OLAH,10:15032224-15073853
LINC01094,4:78645994-78684501
MIR1244-1,2:231713314-231713398
MIR1185-2,14:101044198-101044283
GUSBP1,5:21459513-21589372
LINC02875,17:61411751-61413280
FAM124A,13:51222367-51284241
RNF133,7:122697735-122699117
BICDL2,16:3027682-3036985
C1orf54,1:150270317-150280927
BRINP2,1:177170890-177282422
RNU6-6P,10:13217269-13217375
TARID,6:133502252-133889006
ZNF783,7:149262196-149284994
OTOP3,17:74935802-74949993
PALM3,19:14053367-14062137
TCP11L2,12:106302026-106347455
CCDC112,5:115267190-115296755
MOB3C,1:46607715-46616891
ZNF524,19:55599772-55603138
DBH-AS1,9:133654587-133657408
LRRC39,1:100148448-100178256
SPRYD3,12:53064316-53079390
JPH4,14:23568038-23578790
MINDY4,7:30771417-30892387
RERGL,12:18080869-18090193
ADPRM,17:10697594-10711558
C4orf19,4:37453454-37596146
DZANK1,20:18383367-18467180
KBTBD2,7:32868172-32892144
ZNF432,19:52031378-52048838
LOC106707173,11:32386873-32387243
MIR4500,13:87618665-87618740
ZAR1L,13:32303699-32315363
SMIM24,19:3473986-3480525
HMCN2,9:130265742-130434123
APCDD1L,20:58459101-58515399
GLB1L3,11:134272716-134325307
HDHD3,9:113373416-113376986
TP53TG3,16:32673519-32676129
ZNF271P,18:35290272-35310766
SEC14L5,16:4958306-5019157
ZNF138,7:64794428-64860823
LOC111242783,3:187038296-187038755
LOC106660625,3:186840010-186853050
LINC00205,21:45288052-45297354
STUM,1:226548746-226609230
TMED8,14:77335021-77377094
LRRC58,3:120324509-120349354
RBM48,7:92528795-92540481
VAT1L,16:77788564-77980107
PHF24,9:34810040-34982544
LOC107882127,13:77975613-77976074
MIR3928,22:31160062-31160119
MIR1909,19:1816159-1816238
OR10G7,11:124036013-124041325
FAM174A,5:100535347-100586741
KRTCAP3,2:27442381-27446481
ZSCAN29,15:43358175-43371043
TMEM86A,11:18698779-18704785
RBM18,9:122237622-122264840
ASTE1,3:131013875-131026825
HOXC13-AS,12:53935328-53939643
MAPT-AS1,17:45843356-45895513
ZSCAN30,18:35251059-35290261
UBTFL1,11:90085950-90087131
SERINC4,15:43794162-43800220
CCDC144NL-AS1,17:20868527-20930041
KRTAP10-5,21:44579455-44580604
C5orf34,5:43486699-43515433
SCGB2B2,19:34585529-34677159
ZNF575,19:43531574-43536090
C6orf136,6:30647133-30653207
VSTM4,10:49014236-49129118
C5orf24,5:134833603-134859735
TDRD12,19:32719767-32829580
STPG1,1:24356999-24415533
KRTAP17-1,17:41314912-41315710
WDR93,15:89690074-89744390
A2MP1,12:9228533-9234207
LOC107980434,7:128775780-128781201
LOC106699567,2:86786076-86789185
LNCOG,12:76259883-76305969
LUNAR1,15:99014704-99031050
IRAIN,15:98645863-98651221
CYYR1-AS1,21:26393635-26569252
GAPDHP44,12:62755153-62756433
SNHG9,16:1964996-1965504
CLLU1-AS1,12:92420086-92432999
C4orf47,4:185405227-185449828
CTXN1,19:7924491-7926135
LCN9,9:135663322-135670731
CPP,8:91157278-91159922
PROSER2,10:11823341-11872277
LCN8,9:136754386-136758551
SNORA62,3:39411054-39411207
DRD5P2,1:144689614-144691842
CRYBB2P1,22:25448087-25461678
MIR1298,X:114715233-114715344
AKAIN1,18:5142911-5197691
CT45A6,X:135794685-135802787
ZNF772,19:57469586-57479014
PFN4,2:24114809-24124268
MORN3,12:121648742-121672650
C1orf210,1:43281877-43285840
ZNF786,7:149069641-149090718
ZNF559,19:9323772-9345871
MYO15B,17:75587545-75626851
VPS9D1,16:89707133-89721231
MIR3614,17:56891270-56891355
MIR1183,7:21471058-21471146
MIR548D1,8:123348034-123348130
LINC01089,12:121795267-121802946
SBSPON,8:73063077-73093178
ZNF565,19:36182060-36245928
AMDHD1,12:95943331-95968720
DCST2,1:155018513-155033781
OR2A4,6:131699644-131701401
SNORD22,11:62852910-62853035
RNF217-AS1,6:124908243-124963027
MIR513C,X:147189704-147189787
CCDC30,1:42456107-42657190
PWARSN,15:24981994-24983790
ZSCAN5B,19:56189686-56197890
ZNF677,19:53235381-53254873
PGBD2,1:248873827-248919146
R3HCC1,8:23288092-23296279
BTNL9,5:181039872-181061525
ZNF417,19:57905411-57916592
C15orf32,15:92471677-92501117
KRBA2,17:8358822-8376704
MFSD14A,1:100038078-100083377
OR2W1,6:29044213-29045175
ARSDP1,Y:12354037-12379774
LOC105980006,5:176072563-176075552
MIR499B,20:34990400-34990472
NUTM2B,10:79703227-79712758
MIR643,19:52281797-52281893
ZNF829,19:36888124-36916387
FITM1,14:24130659-24132847
FAM199X,X:104166453-104195902
GGTA2P,12:67265839-67266962
FRMPD3,X:107449652-107605264
ZBTB26,9:122915566-122931512
ZNF28,19:52797408-52821637
NBPF26,1:120805556-120842215
CYP3A7-CYP3A51P,7:99684677-99735196
MIR933,2:175167633-175167709
MBLAC1,7:100126720-100128495
CDCP2,1:54132687-54153181
ZSWIM2,2:186827475-186849170
CHIAP2,1:111280524-111286108
CCDC149,4:24803514-24980204
KRTAP3-2,17:40999193-40999906
H2AP,X:37990779-37991314
FAM189A1,15:29117712-29675409
MIR3658,1:165907921-165907976
CD300H,17:74557229-74567512
GOLGA8O,15:32441914-32461753
SUMO1P1,20:53874498-53875709
OR4F6,15:101803509-101806887
CENATAC,11:118998117-119015793
FAM171B,2:186694060-186765959
FAM161B,14:73932031-73950291
KBTBD3,11:106046801-106077765
ARID3C,9:34621049-34633112
GOT1L1,8:37933548-37940503
AMMECR1L,2:127861630-127887575
ZNF329,19:58126248-58155169
ZSCAN32,16:3382085-3402007
TRBV12-3,7:142560485-142560931
LOC112543491,1:161135150-161137942
SHISA7,19:55428740-55443300
PCP4L1,1:161258734-161285450
TMEM151B,6:44270450-44279444
SHISA8,22:41906049-41915093
LCN10,9:136738170-136742940
MIF-AS1,22:23893710-23898930
WFDC9,20:45607939-45631284
ERVV-1,19:53014091-53016580
ZSWIM1,20:45880920-45885266
C8orf76,8:123219967-123241377
KIAA1841,2:61065871-61138032
EFCAB1,8:48709593-48735843
HDDC2,6:125275350-125302066
PTP4A2P1,17:42533120-42534226
IDSP1,X:149525000-149526417
CARD8-AS1,19:48255675-48258194
MIR3941,10:122416965-122417067
MTRNR2L4,16:3370979-3372668
GASK1A,3:42979311-43057715
DUSP5P1,1:228644910-228652412
H2BC19P,1:149843037-149843510
TMEM270,7:73860848-73865892
KLHDC7B,22:50545899-50551023
IQCJ-SCHIP1,3:159069319-159897359
TRIML1,4:188137229-188150768
C9orf43,9:113410644-113429690
KIAA2026,9:5860254-6008489
NOXRED1,14:77394021-77426013
TMEM254,10:80078665-80092552
TEDC2,16:2460109-2464963
IGLV3-25,22:22686769-22687281
GABPAP,7:63893249-63897908
PPP1R2P1,6:32876478-32880074
GAGE12D,X:49541722-49549107
GAGE12C,X:49532177-49539541
F11-AS1,4:186286098-186501058
ACTL9,19:8697400-8698795
FAM201A,9:38621088-38623284
TTC14,3:180602163-180618329
FAM83C,20:35285731-35292425
BTBD11,12:107316749-107659642
MSANTD4,11:106007899-106022287
NIPAL2,8:98189826-98294235
MIR3196,20:63238779-63238842
NF1P1,15:20916682-20935708
MIR302E,11:7234766-7234837
MIR1253,17:2748078-2748182
MIR1185-1,14:101042977-101043062
SLC25A53,X:104099214-104157009
SERPINA13P,14:94640725-94646994
C6orf58,6:127577174-127591820
KLRG2,7:139426931-139483716
C16orf89,16:5042772-5065971
PWWP3B,X:106168278-106208961
CDKN2AIPNL,5:134402065-134414625
FAM86B1,8:12182106-12195436
EFCAB2,1:244969682-245125228
OTX2-AS1,14:56812006-56931308
MIR1468,X:63786002-63786087
NBPF20,1:145289900-145405778
MIR376A2,14:101040069-101040148
URAD,13:27977717-27988693
NR1H5P,1:114834456-114851544
RIMBP3B,22:21383751-21389169
LONRF2,2:100271875-100322501
C22orf39,22:19440886-19447711
MTRNR2L7,10:37601438-37602931
NOS2P1,17:27651443-27664655
VCY1B,Y:14056227-14056958
CCDC42,17:8729935-8744836
CLHC1,2:55172547-55232563
ZNF594,17:5174021-5191883
SHCBP1L,1:182899865-182953166
RUNX1-IT1,21:35037925-35039426
CPLANE2,1:16231692-16237445
MTRNR2L10,X:55181392-55182442
MIR103B2,20:3917502-3917563
MIR2113,6:98024531-98024621
FAM163B,9:133577076-133609389
NUPR2,7:56114681-56116417
RASGEF1C,5:180100795-180209211
ZNF425,7:149102784-149126324
ZNF319,16:57994676-58000672
MIR4449,4:52712682-52712747
MIR550A3,7:29680734-29680828
MIR4717,16:2274620-2274691
MTRNR2L9,6:61574130-61574630
MTRNR2L6,7:142666299-142667693
MTRNR2L3,20:57358447-57359498
FAM183A,1:43142959-43156396
RN7SL2,14:49862551-49862849
MAGEB5,X:26216169-26218270
NUDT8,11:67621421-67629937
TMEM130,7:98846490-98870014
C1orf74,1:209779208-209784559
CCDC15,11:124954121-125041489
ZNF571,19:37564253-37594830
IGKV1D-12,2:90159860-90160335
ZNF225,19:44111426-44134822
RHEBP1,10:46634502-46635846
LOC107181288,X:154546511-154547759
MAGEB17,X:16167481-16172394
OR2AT4,11:75088692-75096890
FTLP3,20:4023718-4024588
FAM102B,1:108560100-108639322
TTLL10,1:1173709-1197936
TMEM217,6:37212181-37259034
IGFLR1,19:35738801-35742452
GIN1,5:103086000-103120149
C21orf58,21:46300426-46324046
CDKN2A-DT,9:21967139-21967754
MRLN,10:59736692-59753455
AFDN-DT,6:167823890-167826796
ANKRD65,1:1418420-1422471
ZNF470,19:56567468-56582894
LCE5A,1:152510803-152512177
CCZ1B,7:6798937-6826275
CCDC13,3:42704118-42773253
SOWAHA,5:132813302-132816786
ZFP3,17:5078467-5096374
ERI2,16:20780193-20806472
SH3D21,1:36306348-36329221
CCDC121,2:27625638-27629012
OGFRL1,6:71288296-71309059
FNDC11,20:63553020-63556712
C11orf1,11:111879478-111885975
ZNF624,17:16620734-16655210
ZNF500,16:4745961-4767219
H2BL1P,5:72733833-72734209
SCAANT1,3:63911518-63911772
DBET,4:190064502-190067864
MKI67P1,X:46561292-46562760
MIR509-2,X:147258760-147258850
FOXD4L6,9:41126435-41128681
ST20,15:79898842-79923752
PABPC1P10,3:155309427-155310005
ACSM6,10:95194238-95228929
FRMD1,6:168053095-168093007
FAM204A,10:118297925-118342325
TRGV3,7:38358512-38358979
MIR194-2HG,11:64888458-64893449
SPATA48,7:50095861-50159256
GGNBP1,6:33583699-33589026
GATD1,11:767095-777501
C1QL4,12:49332409-49337195
MCMDC2,8:66870757-66926436
CCDC127,5:196868-218153
ALKBH6,19:36009120-36014255
CCDC71,3:49162535-49166331
SNORD25,11:62855565-62855631
MIR920,12:24212421-24212495
MIR548B,6:119069047-119069143
SEC1P,19:48638039-48682245
MIR519A2,19:53762344-53762430
FAM72C,1:143955287-143973564
GVINP1,11:6713139-6721879
RTL5,X:72127110-72131915
OR2AG2,11:6765626-6771976
DEFB110,6:50009138-50021994
LCE4A,1:152708160-152709434
ZNF596,8:232137-247340
LDC1P,1:31500085-31508566
ZNF572,8:124973295-124979389
LIMS3,2:109898688-109925625
HAGHL,16:726999-729715
DTWD1,15:49621022-49656232
ANOS2P,Y:13751706-13920022
U2AF1L5,21:6484623-6499969
DCST1-AS1,1:155045191-155063991
MIR4299,11:11656651-11656722
SNORA2C,12:48654382-48654518
SPACA5,X:48004336-48009736
SYCN,19:39202825-39204263
LINC00667,18:5238100-5246508
ZNF560,19:9445710-9506692
EXOC3-AS1,5:441835-443160
CRAMP1,16:1612360-1677908
PLPPR1,9:101028727-101325135
LOC107133509,8:38331586-38347431
MIR626,15:41691585-41691678
MIR602,9:137838419-137838516
MIR567,3:112112801-112112898
SPINK8,3:48306842-48333909
KRTAP5-1,11:1584342-1585283
GK5,3:142157527-142225592
RSPH10B,7:5926136-5970850
ZNF428,19:43607224-43619629
OR4C46,11:54603069-54603998
IGKV1-17,2:89117342-89117817
ARRDC2,19:18001124-18014102
HERV.E-PTN,7:137268225-137270125
MIR5196,19:35345513-35345627
TGFBR3L,19:7914830-7919097
CNTNAP3B,9:41890536-42129426
SNORA74B,5:173020726-173020929
PRELID2,5:145587325-145835369
LYG1,2:99284238-99304775
RNF157,17:76142456-76240493
OXNAD1,3:16265190-16386979
ZNF607,19:37696363-37720165
ZFP2,5:178895913-178933212
LRRC61,7:150309499-150338156
CCDC181,1:169394870-169462221
COPG2IT1,7:130543453-130546900
C22orf31,22:29058672-29073943
ATP5MF-PTCD1,7:99416739-99466167
TMED7-TICAM2,5:115578496-115626036
OR10G4,11:124012997-124018732
C3orf38,3:88149959-88157966
ADAM5,8:39314663-39417226
PRNT,20:4731282-4740668
TMEM171,5:73120575-73131814
CCDC148,2:158171073-158456753
MEDAG,13:30906271-30925577
ZBTB37,1:173868082-173903547
ZNF527,19:37371057-37393066
C19orf44,19:16496382-16521369
C7orf26,7:6590021-6608726
SAYSD1,6:39104063-39115186
TMEM143,19:48332356-48363940
OR7C1,19:14798515-14835185
SNORD82,2:231460368-231460442
LINC01614,2:215718043-215720946
BNIP5,6:36315757-36337015
WFDC11,20:45648563-45670239
RPSAP15,X:87703273-87704306
NBPF4,1:108222464-108244076
ZNF488,10:47365482-47384339
TCEAL3,X:103607963-103609927
TMEM53,1:44653247-44674481
ECHDC2,1:52895910-52927212
DENND2A,7:140518418-140641460
MMP24OS,20:35276352-35278122
MIR892B,X:145997198-145997274
MIMT1,19:56840902-56848556
CT47A1,X:120982476-120985886
CT47A2,X:120977606-120981026
CT47A3,X:120972746-120976166
CT47A4,X:120967886-120971306
CT47A5,X:120963026-120966446
CT47A6,X:120958165-120961588
CT47A8,X:120948422-120951842
CT47A9,X:120943561-120946981
CT47A10,X:120938701-120942121
CT47A7,X:120953282-120956600
GUSBP3,5:69639463-69710527
RAP1BL,5:76170085-76174354
MB21D2,3:192796815-192917856
ARL9,4:56505209-56524453
WDR88,19:33132098-33175799
PXYLP1,3:141231825-141294924
WTAPP1,11:102783676-102836766
CCDC157,22:30356624-30378673
ZNF284,19:44072137-44089613
UBE2L1,14:55229193-55229936
TMEM80,11:695585-705028
SMIM12,1:34850362-34859749
C1orf158,1:12746200-12763699
TMEM234,1:32204807-32222353
LINC00899,22:46039907-46044868
VDAC1P1,X:80929424-80931207
SKINT1L,1:48101715-48182428
MRGPRG,11:3217944-3218813
KLHL38,8:123644442-123653801
SLC16A13,17:7036015-7040117
ANKRD35,1:145866564-145885866
ZIM2,19:56774547-56840726
MIR3940,19:6416410-6416511
MIR891B,X:146001053-146001131
MIR600,9:123111546-123111643
PRAMEF4,1:12879212-12886201
C16orf87,16:46796603-46831471
PICART1,17:50050349-50055739
WFDC10B,20:45684651-45708899
FAM227B,15:49326970-49620931
SPATA32,17:45254393-45262094
CLBA1,14:104985788-105000310
TMEM101,17:44011188-44026046
ZSWIM4,19:13795424-13832254
VRTN,14:74303076-74360008
IGHV3-71,14:106775157-106775618
TDGF1P3,X:110520312-110523021
FOXO3B,17:18667629-18682314
GAGE12H,X:49579949-49587304
EML6,2:54723467-54972908
HCG26,6:31471229-31472408
CDRT4,17:15436015-15467621
VWDE,7:12330885-12403903
SLC25A48,5:135579172-135888637
C4orf33,4:129093691-129116637
PLEKHS1,10:113751262-113783429
OGFOD2,12:122974726-122980042
TTTY2,Y:9736286-9758476
LINC01512,6:43891028-43938207
SNORD87,8:66922474-66922549
CCDC18,1:93179802-93279037
LIPM,10:88802730-88822022
CCDC158,4:76313039-76421920
C12orf29,12:88035536-88050160
PRADC1,2:73228006-73233284
IGHV5-78,14:106851112-106851546
BMNCR,1:203404221-203407625
SEPT5-GP1BB,22:19717220-19724774
GFY,19:49423747-49428987
KCTD4,13:45192853-45201045
KLHL17,1:960103-965719
TIGD5,8:143597831-143603224
TSPY2,Y:6246223-6249020
C3orf14,3:62319022-62336213
GRAMD1C,3:113828182-113947174
MYLKP1,3:75328548-75339072
DEFB131A,4:9444534-9450514
PXDC1,6:3722604-3752297
TMED6,16:69343250-69351786
C15orf40,15:82988297-83012298
LYZL1,10:29289051-29318328
BBOF1,14:74019349-74078351
KIAA1614,1:180912897-180951614
SPRR2C,1:153140118-153141493
TBC1D7-LOC100130357,6:13266536-13328537
MIR516A2,19:53761133-53761222
C18orf32,18:49477243-49487234
RNASE10,14:20504233-20513884
CXorf65,X:71103249-71106973
PACRGL,4:20696282-20754828
C11orf52,11:111918913-111926871
GPALPP1,13:44989538-45037669
ZNF229,19:44426251-44448578
ZNF73P,22:11474777-11479843
MCTS2P,20:31547423-31548177
CCDC184,12:48183644-48185926
CCDC24,1:43991599-43996528
KCTD19,16:67289432-67326741
LINC00161,21:28539318-28540355
C3orf20,3:14673470-14773036
ZNF614,19:52013324-52028379
CFAP92,3:128909873-129032431
OR7C2,19:14941489-14942448
TTC39A,1:51287258-51345116
HMGB1P1,20:57487941-57489130
GAGE12G,X:49570397-49577757
C10orf62,10:97589721-97590934
DENND10,10:119104082-119137984
DYTN,2:206651621-206718396
AMER3,2:130754475-130768134
C1orf122,1:37807790-37809454
C11orf16,11:8920076-8932947
IGLV7-43,22:22395052-22395489
SNORD30,11:62853663-62853732
ZCCHC18,X:104112445-104121330
MIRLET7BHG,22:46085997-46113928
SPINT4,20:45722347-45725830
FAM89A,1:231018958-231040254
VN1R4,19:53264418-53270939
INTS6L,X:135520630-135582510
TIGD6,5:149993118-150000654
OR52A1,11:5146824-5154757
ZFPM2-AS1,8:105780410-106060503
MIR4271,3:49274120-49274186
MIR4317,18:6374361-6374425
MIR1283-1,19:53688481-53688567
KRTAP12-2,21:44666189-44666927
RPLP0P6,2:38481775-38482875
C22orf42,22:32149006-32160447
TMEM99,17:40819145-40836274
ZNF785,16:30572939-30586038
CFAP54,12:96489577-96875555
PSKH2,8:86047109-86069987
LOC109113862,5:142621297-142622321
FAM171A2,17:44353215-44363853
KLHL35,11:75422394-75430629
OR51F1,11:4768979-4769938
SCML4,6:107697297-107845959
CASP16P,16:3144291-3149946
C1orf56,1:151047751-151051420
HHLA3,1:70354811-70368023
ZNF226,19:44165070-44198261
LOC108868753,Y:25553236-25553956
LOC108868752,Y:18591399-18592152
SNORD113-1,14:100924821-100924890
MIR550A1,7:30289794-30289890
HSP90AB4P,15:58690473-58693607
TRIM6-TRIM34,11:5596637-5644398
SLC35F3,1:233904676-234324511
ZNF688,16:30569677-30572495
C16orf92,16:30023198-30027736
FAXC,6:99271161-99350056
ZNF770,15:34978341-34988287
OR1C1,1:247754846-247760556
ZNF337,20:25673195-25696879
KRTAP10-8,21:44612079-44612954
COX8C,14:93347182-93348356
OR4C16,11:55572128-55573060
CXorf38,X:40626921-40647678
ZNF792,19:34956354-34964229
NACAD,7:45080432-45089452
MROH7,1:54641786-54710266
OR2L13,1:247937177-248101163
ZNF780A,19:40069008-40091706
RBM46,4:154781249-154828813
ZNF600,19:52764164-52786825
FAM71A,1:212624474-212626775
IFFO2,1:18904280-18956676
CFAP74,1:1921957-2003837
RPUSD2,15:40569299-40574949
RNF44,5:176526704-176544206
PPBPP2,4:74054038-74055399
OR1D5,17:3062669-3063607
FRA7A,7:55887601-55887639
MIR4735,1:196582413-196582481
GGTLC3,22:18516335-18518165
SNORD71,16:71758402-71758487
LIPK,10:88706225-88753092
CATSPER2P1,15:43735934-43746298
TOMM20L,14:58395904-58417080
FAM43B,1:20552573-20555020
OR7D2,19:9178979-9188818
CCDC85A,2:56183990-56386174
CEACAM21,19:41549236-41586844
TMEM141,9:136791344-136793317
KRTAP9-2,17:41226648-41227652
TRX-CAT2-1,6:27777885-27777956
LDHAP1,4:4893624-4895268
CENPS-CORT,1:10430433-10452153
C12orf50,12:87980035-88030212
C10orf71,10:49297009-49330145
ANKRD36B,2:97492663-97590337
RASL12,15:65045576-65076704
FBXW4P1,22:23262767-23265005
RBM14-RBM4,11:66616630-66646468
KRTAP26-1,21:30319124-30320315
ARSH,X:3006546-3034111
C16orf54,16:29742463-29745990
CLEC4F,2:70808643-70825235
IQCC,1:32205671-32208682
ARPIN-AP3S2,15:89830599-89912952
LINC00908,18:76528655-76559827
C2orf72,2:231037523-231049719
TMEM31,X:103710909-103714032
LEXM,1:54806063-54842252
LINC00689,7:159008354-159026238
CCDC189,16:30757226-30762272
ZSCAN5A,19:56221303-56368278
BPESC1,3:139104185-139125167
SNORA74A,5:139278780-139278979
KCNK15-AS1,20:44711862-44746227
LINC01605,8:37403516-37599839
MIR2355,2:207109987-207110073
CYSRT1,9:137225174-137226315
GRAMD2A,15:72159806-72197814
OCSTAMP,20:46540946-46550654
METTL25,12:82358417-82479239
ZNF430,19:21020657-21060050
BTN2A3P,6:26421391-26430588
IGHD3-3,14:105914359-105914389
TMEM121B,22:17116297-17121360
LINC01108,6:14280127-14285454
MIR1237,11:64368602-64368703
UPK3BL1,7:102637025-102642791
PRY2,Y:22071756-22096007
LGALS9B,17:20449395-20467539
ZNF584,19:58401472-58431396
EXD1,15:41182728-41231074
ZNF439,19:11848726-11869486
TRMT13,1:100133080-100150498
GTPBP8,3:112990984-113001969
TBC1D12,10:94402429-94536332
BABAM2-AS1,2:27889456-27891114
MIR604,10:29545004-29545097
LNP1,3:100401539-100456319
DNAJC5G,2:27275427-27281499
PRSS54,16:58279997-58295025
RNFT2,12:116738315-116853631
TMEM185B,2:120217479-120223400
ZNF529,19:36534491-36605411
TTC38,22:46267966-46294008
IGHV4-39,14:106421709-106422147
SLC35E2A,1:1724838-1746070
LOC107161156,1:116751950-116754547
ERLNC1,1:204141408-204143009
PWRN1,15:24558157-24587780
SPDYE4,17:8747532-8759428
SLC9C2,1:173500460-173603072
ZNF283,19:43827292-43853286
ZNF567,19:36666934-36723355
ZNF433,19:12014715-12035679
MANEAL,1:37793816-37801133
LIPJ,10:88583277-88623161
AXDND1,1:179365704-179554735
TMEM106C,12:47963596-47968878
C1orf159,1:1081823-1116089
VN1R2,19:53258292-53259602
ZNF100,19:21722771-21767579
ELOA3P,18:47028021-47030461
SCRT2,20:661596-675802
ZFP69B,1:40450064-40466765
DIO3OS,14:101552221-101560422
SLC45A4,8:141207169-141308321
CFAP61,20:20052514-20360714
LOC110599578,8:141490543-141494608
ITGB2-AS1,21:44921035-44929680
TMEM200C,18:5882339-5898701
CT47B1,X:120872552-120875929
C8orf82,8:144525733-144529111
PPIL6,6:109390215-109441171
LINC00691,3:24099974-24103247
RNF151,16:1966639-1968963
UBQLNL,11:5514393-5516699
ZNF280A,22:22513736-22520270
ZNF853,7:6615610-6624290
IGKV3D-11,2:90172899-90173412
MT-TD,MT:7518-7585
NBPF7,1:119833709-119844724
NPY4R2,10:47913999-47926069
MIR4674,9:136546173-136546259
MIR4673,9:136519568-136519626
LINC00844,10:58999518-59001617
SPATA31A3,9:66986304-66992550
OCLNP1,5:71074203-71093070
CDC20B,5:55112971-55173177
KIF19,17:74326212-74355820
NRN1L,16:67884885-67888855
TSSK1A,22:19124874-19125887
LINC01093,4:184893000-184899461
FAM90A18P,8:7721429-7726663
PEG13,8:140094894-140100535
DUBR,3:107240692-107326964
GCSAML,1:247507058-247577690
CCM2L,20:32010379-32032180
LINC00310,21:34180677-34189919
ZNF502,3:44712660-44723831
KRTAP4-2,17:41177446-41178221
HSP90AA4P,4:189472906-189475853
MIR3679,2:134127125-134127192
MIR449C,5:55172262-55172353
CERNA1,15:52180026-52205879
H2BC20P,1:149850192-149850773
TSGA10IP,11:65945445-65960437
DEFB108B,11:71833200-71837710
SILC1,2:5932687-5980218
SPACA7,13:112376300-112434689
ABHD15,17:29560547-29567037
FAM222A,12:109713825-109770509
DHFRP3,2:82856803-82857769
FOXB2,9:77019655-77020953
TRIM60,4:165031953-165041821
FAM47A,X:34129752-34132314
CCDC142,2:74472832-74482998
ZNF484,9:92844182-92878060
C6orf62,6:24704299-24720920
TRMT2B,X:100973359-101052118
OR51B2,11:5323359-5324297
FAM222B,17:28755979-28854985
MARCKSP1,21:26227560-26235914
LINC01088,4:78971748-79308799
LINC00882,3:107109790-107240638
ZNF429,19:21505427-21541157
RUFY4,2:218034934-218090584
NAPSB,19:50333800-50344748
PAGE3,X:55257601-55264916
PRSS37,7:141836278-141849725
CCDC102A,16:57512178-57538305
IGHV3OR16-7,16:33938339-33938639
SNORD20,2:231456444-231456523
SNORD15A,11:75400391-75400538
B4GALT1-AS1,9:33166948-33179983
MIR1193,14:101030052-101030129
SORD2P,15:44825747-44884694
ANKRD36C,2:95848932-95991824
SERP2,13:44373523-44397714
KRTAP12-1,21:44681576-44682163
LCE2A,1:152698345-152699442
DEFB130A,8:12310962-12318316
CBWD5,9:65666374-65734041
