Gene,Coordinates
RPL6P2,1:119761916-119762740
LINC01780,1:119870875-119898805
RNU1-75P,1:119874020-119874148
HAO2,1:119911408-119936753
HAO2-IT1,1:119911569-119912954
HSD3B2,1:119957554-119965657
GAPDHP74,1:119977083-119977712
HSD3BP2,1:119981151-119989129
GAPDHP23,1:120004458-120005715
HSD3BP1,1:120009756-120016722
GAPDHP58,1:120038412-120039532
HSD3B1,1:120049826-120057681
GAPDHP32,1:120076171-120077444
HSD3BP3,1:120081044-120088867
GAPDHP27,1:120101175-120102468
HSD3BP4,1:120106503-120115199
GAPDHP33,1:120138588-120139873
LINC00622,1:120140325-120141914
HSD3BP5,1:120143875-120152161
ZNF697,1:120162000-120190889
PHGDH,1:120254557-120286838
HMGCS2,1:120290619-120311555
REG4,1:120336640-120354083
NBPF7,1:120377388-120387503
PFN1P9,1:120395828-120396614
NOTCH2P1,1:120428929-120429550
ADAM30,1:120436156-120439138
NOTCH2,1:120454176-120612276
RNU6-465P,1:120669562-120669662
SEC22B,1:120693460-120697156
FAM72B,1:120839005-120855681
RPL22P6,1:120880863-120881329
H3P4,1:120904659-120916108
H2BP1,1:120905993-120916108
LOC100996318,1:120925024-120933000
FCGR1B,1:120926128-120935944
SRGAP2-AS1,1:121102017-121139765
SRGAP2C,1:121107154-121134735
MTIF2P1,1:121244123-121245715
EMBP1,1:121260910-121313686
SNX18P15,1:142659810-142660763
SNX18P16,1:142688524-142688919
ANKRD20A12P,1:142697421-142713605
ASNSP5,1:142799587-142799739
ANKRD20A14P,1:142823385-142827432
SNX18P17,1:142850772-142851721
LOC102723769,1:143134603-143202239
SNX18P18,1:143156455-143157208
SNX18P19,1:143184614-143186190
ANKRD20A13P,1:143209182-143213260
SNX18P21,1:143288778-143289589
ANKRD20A15P,1:143375106-143379161
SNX18P20,1:143402104-143403677
SNX18P22,1:143430740-143431694
TRN-GTT23-1,1:143663458-143663731
RNU1-155P,1:143670468-143670602
LINC01145,1:143743239-143744617
LOC100996740,1:143743413-143745143
PPIAL4H,1:143765473-143768040
FAM72D,1:143896448-143914847
LOC105369199,1:144280040-144290327
LINC00623,1:144298164-144341756
TRN-GTT11-1,1:144301611-144301684
RNVU1-4,1:144311213-144311376
PPIAL4A,1:144363587-144364246
NBPF9,1:144614959-144830407
LOC653513,1:144676437-144680025
PDE4DIP,1:144851424-145076025
RNU2-38P,1:144944672-144944728
RN7SKP88,1:145044651-145044900
RNU6-1071P,1:145149740-145149840
NOTCH2NLA,1:145209113-145286270
NBPF10,1:145293371-145370303
LINC01719,1:145376206-145382404
RNVU1-6,1:145382757-145382920
TRK-CTT2-1,1:145395522-145395594
TRH-GTG1-1,1:145396881-145396952
TRG-TCC2-1,1:145397864-145397935
TRE-CTC1-1,1:145399233-145399304
HJV,1:145413278-145417543
TXNIP,1:145438490-145442635
POLR3GL,1:145456236-145470400
ANKRD34A,1:145470515-145475647
LIX1L,1:145477069-145501670
LIX1L-AS1,1:145493884-145508262
RBM8A,1:145507609-145513536
GNRHR2,1:145509752-145516076
PEX11B,1:145516372-145523732
ITGA10,1:145525030-145543868
ANKRD35,1:145549209-145568522
PIAS3,1:145575988-145586546
MIR6736,1:145584423-145584481
NUDT17,1:145586114-145589438
POLR3C,1:145590666-145610913
RNF115,1:145611018-145696218
CD160,1:145695798-145715586
PDZK1,1:145727666-145764207
GPR89A,1:145764409-145827075
NBPF25P,1:145827205-146467743
TRQ-CTG3-1,1:145963304-145963375
TRN-GTT9-1,1:145979034-145979107
NBPF8,1:146030695-146082439
PFN1P8,1:146392454-146392861
NBPF14,1:146395342-146467744
LOC728989,1:146490895-146514599
LOC644060,1:146522307-146525796
TRH-GTG1-2,1:146544773-146544844
TRE-TTC14-1,1:146550178-146550249
RNU1-151P,1:146551295-146551419
SSBL4P,1:146553583-146555199
RNVU1-8,1:146556163-146556303
NBPF13P,1:146571066-146585928
PRKAB2,1:146626685-146644049
CHD1L,1:146644326-146767443
PDIA3P1,1:146649430-146651528
FMO5,1:146655884-146696931
CCT8P1,1:146674705-146676565
RPL7AP15,1:146695125-146695996
LOC100130018,1:146790800-146792095
LINC00624,1:146853914-146989699
OR13Z1P,1:146890733-146891625
OR13Z3P,1:146953988-146954378
BCL9,1:147013271-147098017
ACP6,1:147114029-147142646
RN7SL261P,1:147161375-147161656
GJA5,1:147228332-147245455
LOC391092,1:147313086-147314631
GJA8,1:147374921-147381396
GPR89B,1:147400533-147465824
PDZK1P1,1:147466094-147487188
TRR-CCT6-2,1:147483291-147483361
RNU1-129P,1:147486649-147486815
TRQ-CTG3-2,1:147505038-147505109
RNVU1-7,1:147511004-147511167
TRN-GTT9-2,1:147520767-147520840
PDE4DIPP1,1:147521553-147567054
NBPF11,1:147574428-147624560
PFN1P4,1:147601643-147602424
ABHD17AP1,1:147618345-147622067
LINC02805,1:147634989-147635692
RNA5SP57,1:147665993-147666115
LOC101927468,1:147680370-147719342
RNVU1-22,1:147735751-147735907
TRQ-CTG4-1,1:147737382-147737453
TRH-GTG1-3,1:147753471-147753542
TRH-GTG1-4,1:147774845-147774916
TRE-TTC6-1,1:147781030-147781101
TRQ-CTG7-1,1:147800937-147801008
MIR5087,1:147806603-147806678
TRQ-CTG9-1,1:147825689-147825760
RNVU1-1,1:147834502-147834665
MIR6077,1:147860434-147860515
RNVU1-2,1:147860642-147860803
PDE4DIPP6,1:147874659-147904683
RNVU1-3,1:147874868-147875028
LINC01138,1:147905097-147932048
PPIAL4G,1:147954635-147955394
TRN-GTT2-1,1:148000805-148000878
LOC729086,1:148193177-148196099
PPIAL4D,1:148201752-148202536
RNVU1-14,1:148241465-148241628
TRN-GTT2-7,1:148248115-148248188
NBPF26,1:148250249-148346791
PFN1P3,1:148349119-148349900
NBPF15,1:148555984-148596263
PFN1P6,1:148574407-148575188
TRN-GTT3-1,1:148598314-148598387
RNVU1-15,1:148604908-148605072
PPIAL4E,1:148644011-148644795
PFN1P2,1:148735239-148737141
TRN-GTT2-8,1:148760356-148760429
PPIAL4F,1:148806015-148806799
LOC105371215,1:148864657-148866653
LOC101927429,1:148876040-148902123
DRD5P2,1:148901845-148904072
RNA5SP59,1:148913273-148913382
LSP1P5,1:148928313-148953054
TRQ-CTG11-1,1:149079364-149079435
PFN1P12,1:149114649-149115431
RNU1-114P,1:149146714-149146879
TRH-GTG2-1,1:149155828-149155899
TRE-TTC7-1,1:149161628-149161699
TRQ-CTG4-2,1:149186125-149186196
RNVU1-17,1:149194106-149194269
TRN-GTT22-1,1:149211947-149212020
RNVU1-23,1:149215166-149215300
RNVU1-18,1:149224058-149224221
TRN-GTT6-1,1:149230570-149230643
LOC105369140,1:149239486-149251314
FAM91A3P,1:149261125-149266468
RNU1-143P,1:149286177-149286322
LINC02591,1:149287130-149291743
TRF-GAA9-1,1:149287259-149287530
TRV-CAC8-1,1:149294666-149294736
TRV-CAC4-1,1:149298555-149298627
TRN-GTT12-1,1:149326272-149326345
LOC100131962,1:149340546-149341101
H2BP2,1:149341469-149399226
TRR-CCT7-1,1:149343081-149343151
FCGR1CP,1:149369294-149378303
H3-2,1:149396962-149400553
RPL22P5,1:149424508-149424974
FAM72C,1:149449934-149459549
RNVU1-19,1:149514090-149514256
PPIAL4C,1:149553003-149553787
LINC00869,1:149576161-149651107
TRN-GTT11-2,1:149615617-149615690
FAM91A4P,1:149646705-149652065
TRF-GAA10-1,1:149672805-149673076
LOC644634,1:149673781-149677284
TRV-CAC1-7,1:149684088-149684161
TRN-GTT8-1,1:149711798-149711871
LOC100129586,1:149725737-149726293
TRR-CCT8-1,1:149728271-149728341
H2BC18,1:149754245-149783925
FCGR1A,1:149754250-149772165
H3C13,1:149784780-149785248
H4C14,1:149804221-149804616
H3C14,1:149812259-149812780
H2AC18,1:149813785-149814317
H2BC19P,1:149814604-149815077
H2BC20P,1:149821759-149822340
H2AC19,1:149822628-149823161
H3C15,1:149824170-149824687
H4C15,1:149825657-149832725
H2BC21,1:149856009-149858232
H2AC20,1:149858468-149858961
H2AC21,1:149859019-149859515
BOLA1,1:149871121-149872348
SV2A,1:149874870-149889396
SF3B4,1:149895209-149899695
MTMR11,1:149900543-149908772
OTUD7B,1:149909705-149982675
LOC441907,1:150025827-150027026
VPS45,1:150039439-150117507
PLEKHO1,1:150121836-150132260
LOC105371433,1:150132926-150153463
ANP32E,1:150190717-150208460
RNU2-17P,1:150209315-150209504
CA14,1:150230169-150237478
SNORD13C,1:150234093-150234196
APH1A,1:150237804-150241416
C1orf54,1:150244687-150253335
CIART,1:150254964-150259505
MRPS21,1:150266262-150281414
PRPF3,1:150293917-150325709
RPRD2,1:150336623-150449042
TARS2,1:150459895-150480078
MIR6878,1:150464821-150464886
ECM1,1:150480585-150486265
FALEC,1:150488233-150490508
ADAMTSL4,1:150521884-150533413
MIR4257,1:150524405-150524490
ADAMTSL4-AS1,1:150533371-150547028
RN7SL473P,1:150539038-150539336
RN7SL600P,1:150541447-150541745
MCL1,1:150547034-150552086
ENSA,1:150593722-150602088
GOLPH3L,1:150618706-150669630
HORMAD1,1:150670536-150693371
RNU6-1042P,1:150674342-150674448
CTSS,1:150702664-150738254
LOC100132571,1:150752825-150756949
CTSK,1:150768684-150780736
UBE2D3P3,1:150772949-150773501
ARNT,1:150782189-150849075
RNU6-1309P,1:150785067-150785174
RPS27AP6,1:150853680-150854206
CTXND2,1:150859729-150885768
CYCSP51,1:150876304-150876889
SETDB1,1:150898739-150937213
CERS2,1:150937662-150947311
ANXA9,1:150954768-150968110
MINDY1,1:150969012-150980869
PRUNE1,1:150980925-151008189
RNU6-884P,1:150995222-150995328
BNIPL,1:151009062-151020196
C1orf56,1:151020227-151023896
CDC42SE1,1:151023461-151032098
MLLT11,1:151032873-151042020
GABPB2,1:151043237-151098018
RPS29P29,1:151084311-151084801
SEMA6C,1:151104183-151119107
TNFAIP8L2-SCNM1,1:151129125-151142772
TNFAIP8L2,1:151129125-151132225
LYSMD1,1:151132224-151138378
SCNM1,1:151138620-151142772
TMOD4,1:151142463-151148457
VPS72,1:151148780-151162673
PIP5K1A,1:151171028-151222007
PSMD4,1:151227210-151239955
ZNF687-AS1,1:151252500-151254405
ZNF687,1:151253998-151264652
PI4KB,1:151264273-151300191
RN7SL444P,1:151273141-151273439
RFX5,1:151313116-151319728
RFX5-AS1,1:151319486-151320367
SELENBP1,1:151336780-151345181
PSMB4,1:151372049-151374413
POGZ,1:151375200-151431970
RNY4P25,1:151411478-151411569
CGN,1:151483863-151511168
TUFT1,1:151512785-151556059
MIR554,1:151518272-151518367
RPS10P6,1:151529885-151530467
SNX27,1:151584526-151671556
RNU6-1062P,1:151601802-151601902
CELF3,1:151672534-151689279
RIIAD1,1:151693998-151702281
RNU6-662P,1:151720073-151720176
RPS11P3,1:151730557-151730908
MRPL9,1:151732123-151735972
OAZ3,1:151735445-151743806
TDRKH,1:151744044-151763010
LOC100270670,1:151750377-151751106
TDRKH-AS1,1:151763225-151766878
LINGO4,1:151772740-151777895
RORC,1:151778547-151804278
C2CD4D,1:151810294-151813033
C2CD4D-AS1,1:151810753-151824011
THEM5,1:151819577-151826188
THEM4,1:151843342-151881987
KRT8P28,1:151921783-151923468
S100A10,1:151955391-151966335
NBPF18P,1:151990754-151994985
S100A11,1:152004982-152009480
SPTLC1P4,1:152050413-152050726
LOC100131107,1:152051889-152053400
TCHHL1,1:152056617-152061540
TCHH,1:152078793-152087920
PUDPP2,1:152095636-152097646
RPTN,1:152126071-152131704
HRNR,1:152184552-152196669
FLG,1:152274641-152297715
FLG-AS1,1:152285935-152339168
FLG2,1:152321211-152332482
HMGN3P1,1:152371939-152376159
CRNN,1:152381719-152386739
LCE5A,1:152483279-152484653
CRCT1,1:152486958-152488484
LCE3E,1:152538130-152539256
LCE3D,1:152551857-152552992
LCE3C,1:152572710-152573562
LCE3B,1:152586287-152586574
LCE3A,1:152595310-152595579
LCEP4,1:152616869-152617193
LINC00302,1:152627953-152629280
LCEP3,1:152628808-152628987
LCE2D,1:152635856-152637135
LCE2C,1:152647771-152649045
LCE2B,1:152658599-152659873
LCE2A,1:152670821-152671918
LCE4A,1:152680636-152681910
C1orf68,1:152691998-152692946
LCEP2,1:152709994-152710344
LCEP1,1:152716775-152717082
KPRP,1:152730501-152734528
LCE1F,1:152747616-152749500
LCE1E,1:152758733-152760902
LCE1D,1:152769197-152770657
LCE1C,1:152777308-152779127
LCE1B,1:152784447-152785584
LCE1A,1:152799949-152800573
LCE6A,1:152815332-152816459
SMCP,1:152850798-152857523
IVL,1:152881022-152884362
SPRR4,1:152943124-152945050
SPRR1A,1:152956557-152958290
SPRR3,1:152974225-152976332
SPRR1B,1:153003679-153005376
SPRR2D,1:153012208-153013596
SPRR2A,1:153028596-153029988
SPRR2B,1:153042702-153044087
SPRR2E,1:153065611-153067002
SPRR2F,1:153084597-153091944
SPRR2C,1:153112594-153113969
SPRR2G,1:153122058-153123366
LOC101928009,1:153146994-153164152
LELP1,1:153175906-153177596
PRR9,1:153190060-153191786
RPLP0P4,1:153197483-153198553
LORICRIN,1:153232163-153234600
PGLYRP3,1:153269592-153285428
PGLYRP4,1:153302596-153321317
RNU6-160P,1:153304098-153304204
S100A9,1:153330330-153333499
S100A12,1:153346187-153348097
LAPTM4BP1,1:153352095-153353451
S100A8,1:153362508-153395059
S100A15A,1:153369067-153369247
S100A7A,1:153388996-153395698
S100A7P1,1:153399484-153400877
S100A7L2,1:153410664-153410823
S100A7P2,1:153417385-153419139
S100A7,1:153430220-153433127
RN7SL44P,1:153472939-153473240
S100A6,1:153507075-153508467
S100A5,1:153509623-153514285
S100A4,1:153516097-153518282
LOC101928034,1:153518218-153524245
S100A3,1:153519805-153521734
S100A2,1:153533584-153538320
S100A16,1:153579359-153585613
S100A14,1:153586731-153588801
S100A13,1:153591275-153606837
S100A1,1:153600910-153604515
CHTOP,1:153606542-153618782
SNAPIN,1:153631130-153634328
ILF2,1:153634264-153643469
TRX-CAT1-1,1:153643726-153643797
NPR1,1:153651164-153666468
MIR8083,1:153662181-153662269
RN7SL372P,1:153676564-153676861
INTS3,1:153700526-153747284
SLC27A3,1:153747883-153752633
LOC343052,1:153766423-153768778
GATAD2B,1:153777201-153895448
LOC645965,1:153824098-153825927
DENND4B,1:153901977-153919194
CRTC2,1:153920151-153931088
SLC39A1,1:153931586-153940660
MIR6737,1:153934827-153934896
CREB3L4,1:153940378-153946835
JTB,1:153946745-153950150
RAB13,1:153954126-153958815
RPS27,1:153963238-153964631
NUP210L,1:153965166-154127592
RPL34P5,1:153968069-153968471
RNU6-179P,1:154012392-154012498
RPS7P2,1:154051898-154052441
MIR5698,1:154076997-154077068
TPM3,1:154127784-154164576
RN7SL431P,1:154138723-154139025
MIR190B,1:154166141-154166219
C1orf189,1:154171561-154178809
C1orf43,1:154179196-154193066
UBAP2L,1:154192648-154243986
SNORA58B,1:154232203-154232338
HAX1,1:154245105-154248351
RNU6-239P,1:154267979-154268077
RNU6-121P,1:154270126-154270224
AQP10,1:154293569-154297801
ATP8B2,1:154298001-154323780
RNU7-57P,1:154311220-154311278
MRPS33P1,1:154350328-154350694
RPSAP17,1:154350602-154351640
IL6R-AS1,1:154374797-154379040
IL6R,1:154377819-154441926
PSMD8P1,1:154386748-154387698
SHE,1:154451957-154474888
TDRD10,1:154474695-154520623
UBE2Q1,1:154521053-154531138
UBE2Q1-AS1,1:154526085-154527504
CHRNB2,1:154540254-154552489
ADAR,1:154554533-154600473
KCNN3,1:154669931-154842757
PMVK,1:154897216-154915134
PBXIP1,1:154916556-154928575
PYGO2,1:154929502-154934258
LOC101928120,1:154933947-154935101
SHC1,1:154934774-154946852
CKS1B,1:154947157-154951727
MIR4258,1:154948169-154948259
FLAD1,1:154955820-154965587
LENEP,1:154966062-154966797
ZBTB7B,1:154975125-154990999
DCST2,1:154991003-155006257
DCST1,1:155006282-155023406
DCST1-AS1,1:155017667-155036467
ADAM15,1:155023792-155035251
EFNA4,1:155036216-155042029
EFNA3,1:155051313-155060014
EFNA1,1:155100352-155107375
SLC50A1,1:155107851-155111329
DPM3,1:155112367-155113007
HMGN2P18,1:155120946-155122754
KRTCAP2,1:155141884-155145780
TRIM46,1:155146325-155157447
MUC1,1:155158300-155162706
MIR92B,1:155164968-155165063
THBS3,1:155165379-155177688
MTX1,1:155178486-155183630
GBAP1,1:155183616-155197325
MTX1P1,1:155200767-155204242
GBA,1:155204243-155214418
FAM189B,1:155216996-155225274
SCAMP3,1:155225772-155232151
CLK2,1:155232659-155243295
HCN3,1:155247254-155259639
PKLR,1:155259084-155271229
FDPS,1:155278657-155290456
RUSC1-AS1,1:155286645-155293967
RUSC1,1:155290685-155300909
ASH1L,1:155305059-155532594
MIR555,1:155316141-155316236
RNU6-106P,1:155328504-155328609
RNU6-1297P,1:155389188-155389291
POU5F1P4,1:155402971-155404053
ASH1L-AS1,1:155531833-155533735
LOC284620,1:155560195-155561109
DAP3P1,1:155568604-155571988
MSTO1,1:155579961-155584758
LOC100419798,1:155585361-155616470
LOC100419799,1:155619292-155620059
YY1AP1,1:155629233-155658787
SCARNA26A,1:155648899-155649046
DAP3,1:155658882-155708801
MSTO2P,1:155715559-155720479
GON4L,1:155719450-155829222
SCARNA26B,1:155753475-155753623
LOC100132108,1:155815123-155817064
SYT11,1:155829358-155854990
RIT1,1:155867599-155881140
KHDC4,1:155882836-155904204
SNORA80E,1:155889700-155889833
SCARNA4,1:155895749-155895877
RXFP4,1:155911429-155912878
ARHGEF2,1:155916645-155949408
MIR6738,1:155921064-155921127
SSR2,1:155978839-155990742
UBQLN4,1:156005090-156023589
LAMTOR2,1:156024573-156028297
RAB25,1:156030951-156040295
MEX3A,1:156041804-156052256
LMNA,1:156052364-156109872
SEMA4A,1:156119735-156147535
SLC25A44,1:156163895-156182587
PMF1-BGLAP,1:156182779-156213123
PMF1,1:156182779-156209868
BGLAP,1:156211975-156213108
PAQR6,1:156213111-156217847
SMG5,1:156219015-156261307
TMEM79,1:156252723-156262234
GLMP,1:156262479-156265470
VHLL,1:156268415-156269098
CCT3,1:156278759-156308083
TSACC,1:156307105-156316786
RHBG,1:156339002-156355011
MIR9-1HG,1:156374044-156399340
MIR9-1,1:156390133-156390221
MEF2D,1:156433519-156470567
IQGAP3,1:156495197-156542357
TTC24,1:156549515-156557511
NAXE,1:156561568-156564091
GPATCH4,1:156564093-156571271
LOC101928177,1:156584534-156591720
HAPLN2,1:156589207-156595517
BCAN,1:156611909-156629320
NES,1:156638555-156647199
CRABP2,1:156669398-156675576
ISG20L2,1:156691683-156698558
RRNAD1,1:156698261-156706752
MRPL24,1:156707095-156710880
HDGF,1:156711899-156722240
PRCC,1:156737327-156770607
SH2D2A,1:156776035-156786640
NTRK1,1:156785542-156851642
INSRR,1:156809855-156828909
PEAR1,1:156863510-156886221
LRRC71,1:156890424-156902886
ARHGEF11,1:156904632-157016695
MIR765,1:156905923-156906036
RN7SL612P,1:156955547-156955841
SMU1P1,1:157028502-157030596
KRT8P45,1:157042973-157044690
ETV3L,1:157061835-157069600
ETV3,1:157090983-157108187
CYCSP52,1:157098154-157098463
FCRL5,1:157483167-157522305
FCRL4,1:157543537-157567875
FCRL3,1:157646271-157670559
SONP1,1:157679074-157681258
VDAC1P9,1:157693990-157694816
FCRL2,1:157715523-157746922
FCRL1,1:157764193-157789910
CD5L,1:157796858-157811598
MRPS21P2,1:157830929-157831606
LOC100996284,1:157894853-157895140
LOC105371458,1:157895757-157918861
KIRREL1,1:157963435-158070052
KIRREL1-IT1,1:157995340-158001888
LINC01704,1:158101834-158110430
ELL2P1,1:158144143-158147673
CD1D,1:158147820-158156217
RPS10P8,1:158165366-158165957
CD1A,1:158218126-158228059
HMGN1P5,1:158236543-158237110
CD1C,1:158259713-158264564
CD1B,1:158297745-158301321
CD1E,1:158323684-158327343
OR10T2,1:158368312-158369256
OR10K2,1:158388000-158396027
OR10T1P,1:158414858-158415804
EI24P2,1:158423906-158425258
OR10K1,1:158431624-158437248
OR10R2,1:158449668-158450675
OR10R3P,1:158461010-158461948
OR10R1P,1:158484575-158485715
HSP90AA3P,1:158493403-158496270
OR6Y1,1:158514340-158524195
OR6P1,1:158530396-158540370
OR10X1,1:158548709-158549689
OR10Z1,1:158575058-158582304
SPTA1,1:158580494-158656505
OR6K1P,1:158664329-158665299
OR6K2,1:158669369-158670486
OR6K3,1:158686117-158690510
OR6K4P,1:158693903-158694857
OR6K5P,1:158712358-158713205
OR6K6,1:158724606-158725637
OR6N1,1:158734026-158741985
OR6N2,1:158746472-158747425
OR2AQ1P,1:158765788-158766028
OR10AA1P,1:158778192-158779125
MNDA,1:158801141-158819292
PYHIN5P,1:158848528-158850686
PYHIN1,1:158901342-158946849
PYDC5,1:158969761-158970102
IFI16,1:158969766-159024941
AIM2,1:159032274-159046556
RAD1P2,1:159050730-159051483
TRR-TCT4-1,1:159111401-159111474
CADM3,1:159141405-159173103
RNA5SP60,1:159148263-159148349
CADM3-AS1,1:159165775-159172212
ACKR1,1:159174665-159176290
MPTX1,1:159246297-159246972
OR10J2P,1:159248833-159249790
FCER1A,1:159253365-159277992
OR10J3,1:159283460-159284449
OR10J7P,1:159320841-159321813
OR10J8P,1:159335951-159336876
OR10J1,1:159367255-159410757
OR10J9P,1:159375212-159376198
OR10J4,1:159401982-159403105
OR10J5,1:159504868-159505797
LOC646430,1:159527375-159527971
OR10AE1P,1:159551413-159552010
APCS,1:159557616-159558655
OR10J6P,1:159568089-159569015
CRPP1,1:159674740-159675386
CRP,1:159682079-159684379
RPL27P2,1:159728934-159729410
DUSP23,1:159750752-159752333
FCRL6,1:159770302-159786047
SLAMF8,1:159796663-159807282
SNHG28,1:159804268-159824827
VSIG8,1:159824106-159832447
CFAP45,1:159842154-159869955
MIR4259,1:159869769-159869869
TAGLN2,1:159887901-159895297
IGSF9,1:159896831-159915403
SLAMF9,1:159921282-159924027
LINC01133,1:159931014-159948876
FCRL6P1,1:159942787-159943921
RPL27AP2,1:159990086-159990580
PIGM,1:159994743-160001780
KCNJ10,1:160007257-160039950
KCNJ9,1:160051328-160060353
IGSF8,1:160061129-160068618
ATP1A2,1:160085549-160113381
ATP1A4,1:160121393-160156770
CASQ1,1:160160365-160171676
LOC729867,1:160171989-160178659
PEA15,1:160175174-160185162
DCAF8,1:160185510-160232339
LOC100287049,1:160231539-160232568
RPSAP18,1:160236059-160237093
PEX19,1:160246597-160254941
COPA,1:160258384-160313040
SUMO1P3,1:160287055-160288264
NCSTN,1:160313173-160328739
NHLH1,1:160336861-160342636
RNU4-42P,1:160362558-160362699
VANGL2,1:160370354-160398460
SLAMF6,1:160454826-160493045
CD84,1:160510888-160549286
SLAMF1,1:160577890-160617101
SETP9,1:160639748-160640971
CD48,1:160648536-160681612
SLAMF7,1:160708847-160724611
LY9,1:160765964-160798045
CD244,1:160799950-160832677
PPIAP37,1:160817800-160818292
ITLN1,1:160846330-160854970
LOC646347,1:160864679-160866065
LOC101928372,1:160902255-160919712
ITLN2,1:160914815-160924599
F11R,1:160965001-160990942
TSTD1,1:161007421-161008754
USF1,1:161009041-161015767
ARHGAP30,1:161016736-161039681
NECTIN4,1:161040788-161059348
KLHDC9,1:161068151-161070136
PFDN2,1:161070351-161087827
NIT1,1:161087895-161095235
DEDD,1:161090764-161102457
LOC112543491,1:161104940-161107732
UFC1,1:161123768-161128646
USP21,1:161129290-161135513
PPOX,1:161136216-161141010
B4GALT3,1:161141100-161147758
ADAMTS4,1:161154092-161168844
NDUFS2,1:161167207-161184185
FCER1G,1:161185085-161189035
APOA2,1:161192082-161193418
TOMM40L,1:161195850-161200536
MIR5187,1:161196976-161197051
NR1I3,1:161199459-161207993
PCP4L1,1:161228535-161255240
MPZ,1:161274525-161279758
SDHC,1:161284171-161345130
CFAP126,1:161334523-161337666
RRM2P2,1:161346591-161349160
TRV-CAC1-1,1:161369490-161369562
RNU6-481P,1:161371079-161371185
LOC148430,1:161375835-161376911
TRUND-NNN3-1,1:161390661-161390733
TRE-TTC4-2,1:161391883-161391954
TRN-GTT2-2,1:161397867-161397940
TRG-TCC4-1,1:161409961-161410032
TRD-GTC2-1,1:161410615-161410686
TRL-CAG1-1,1:161411323-161411405
TRG-GCC1-1,1:161413094-161413164
TRE-CTC1-2,1:161417018-161417089
TRG-TCC2-2,1:161417375-161417446
TRD-GTC2-2,1:161418033-161418104
TRL-CAG1-2,1:161418741-161418823
TRG-GCC1-2,1:161420467-161420537
TRE-CTC1-3,1:161424398-161424469
TRG-TCC2-3,1:161424756-161424827
TRD-GTC2-3,1:161425414-161425485
TRL-CAG1-3,1:161426122-161426204
TRG-GCC1-3,1:161427898-161427968
TRE-CTC1-4,1:161431809-161431880
TRG-TCC2-4,1:161432166-161432237
TRD-GTC2-4,1:161432824-161432895
TRL-CAG1-4,1:161433532-161433614
TRG-GCC1-4,1:161435258-161435328
TRE-CTC1-5,1:161439189-161439260
TRG-TCC2-5,1:161439547-161439618
TRD-GTC2-5,1:161440205-161440276
TRL-CAG1-5,1:161440913-161440995
TRG-GCC4-1,1:161450356-161450426
FCGR2A,1:161475247-161489619
TRD-GTC10-1,1:161492935-161493006
TRG-GCC2-1,1:161493637-161493707
HSPA6,1:161494330-161496684
TRL-CAG1-6,1:161500132-161500214
TRG-TCC2-6,1:161500903-161500974
RPS23P10,1:161506361-161507950
TRN-GTT1-1,1:161510031-161510104
FCGR3A,1:161511549-161520527
FCGR2C,1:161551129-161571010
HSPA7,1:161575849-161578341
TRL-CAA6-1,1:161581736-161581819
RPS23P9,1:161587785-161589375
FCGR3B,1:161592986-161601753
FCGR2B,1:161617033-161648444
RPL31P11,1:161653485-161655042
FCRLA,1:161677019-161684142
FCRLB,1:161691334-161697933
RN7SL466P,1:161705598-161705892
DUSP12,1:161719576-161727028
ATF6,1:161736110-161933860
LOC100422526,1:161860730-161861467
OLFML2B,1:161952982-161993659
NOS1AP,1:162039481-162340265
MIR4654,1:162126897-162126972
RNA5SP61,1:162308433-162308532
MIR556,1:162312336-162312430
SPATA46,1:162342993-162346644
C1orf226,1:162348631-162356602
SH2D1B,1:162365058-162381926
SLAMF6P1,1:162415324-162415694
UHMK1,1:162466964-162499421
UQCRBP2,1:162511122-162511449
UAP1,1:162531512-162569627
DDR2,1:162600653-162757195
RN7SL861P,1:162747520-162747804
HSD17B7,1:162760492-162782613
CCDC190,1:162824086-162838623
RGS4,1:163038661-163046592
RGS5,1:163112089-163291525
RGS5-AS1,1:163131465-163182813
LOC100113374,1:163206955-163209777
NUF2,1:163291744-163325549
LOC100422212,1:163390860-163392981
RNA5SP62,1:163438286-163438395
RNA5SP63,1:163479274-163479385
NMNAT1P2,1:164312189-164312678
RNU5F-6P,1:164320510-164320625
HMGB3P6,1:164326004-164326604
PBX1,1:164528421-164855284
RNU6-171P,1:164608802-164608908
PBX1-AS1,1:164738353-164743878
RPL35AP7,1:164890513-164890929
RNU6-755P,1:164949272-164949374
LMX1A,1:165171104-165325952
RXRG,1:165370159-165414363
LRRC52-AS1,1:165446079-165551392
PRELID1P7,1:165466962-165467581
LRRC52,1:165513237-165533194
RPS2P10,1:165550795-165551753
TRK-CTT13-1,1:165566150-165566222
MGST3,1:165600471-165625373
ALDH9A1,1:165631449-165667900
RPS13P1,1:165640493-165640968
RPL21P27,1:165645509-165646053
LOC440700,1:165667987-165679205
TMCO1,1:165693528-165738159
TMCO1-AS1,1:165738166-165744686
RPL26P12,1:165788579-165789068
UCK2,1:165796851-165880855
MIR3658,1:165877158-165877213
LOC100420658,1:165910475-165911005
RPS3AP10,1:165991427-165992312
RNA5SP64,1:166011481-166011587
FAM78B,1:166025155-166136238
MIR921,1:166123980-166124035
LOC284685,1:166244691-166246873
FMO7P,1:166443982-166450802
LINC01675,1:166445009-166459276
